Time,Speed,X,Y
1.0,9.794773362053812,498.4,982.6052266379462
2.0,9.90378866851169,498.4,972.7014379694346
3.0,10.163759816264056,498.4,962.5376781531704
4.0,9.753014676098966,498.4,952.7846634770715
5.0,10.369895828946747,498.4,942.4147676481248
6.0,10.44668671483013,498.4,931.9680809332946
7.0,9.613892709546045,498.4,922.3541882237486
8.0,10.360642650340006,495.2,911.9935455734085
9.0,9.52845635014891,495.2,902.4650892232596
10.0,10.891420160479166,495.2,891.5736690627805
11.0,10.622398228443481,495.2,880.9512708343369
12.0,10.07252175983812,495.2,870.8787490744988
13.0,10.589810922102325,495.2,860.2889381523966
14.0,10.99189075193207,495.2,849.2970474004644
15.0,10.681566939282485,495.2,838.615480461182
16.0,10.418484499271282,495.2,828.1969959619107
17.0,9.867354722403244,495.2,818.3296412395075
18.0,9.612620460277677,495.2,808.7170207792299
19.0,10.087336947967552,495.2,798.6296838312622
20.0,10.159404161328704,495.2,788.4702796699336
21.0,9.63275763200435,495.2,778.8375220379293
22.0,7.632757632004351,495.2,771.2047644059248
23.0,5.632757632004351,495.2,765.5720067739205
24.0,3.632757632004351,495.2,761.9392491419162
25.0,5.443100501958535,495.2,756.4961486399577
26.0,8.140285876056433,495.2,748.3558627639013
27.0,10.94383395667027,498.4,737.412028807231
28.0,10.582169101166793,498.4,726.8298597060641
29.0,8.582169101166793,498.4,718.2476906048973
30.0,6.582169101166793,498.4,711.6655215037306
31.0,9.098213929625482,498.4,702.567307574105
32.0,10.798810001521625,498.4,691.7684975725833
33.0,10.339416373929263,498.4,681.4290811986541
34.0,10.323910089501434,498.4,671.1051711091527
35.0,9.60536539851527,498.4,661.4998057106374
36.0,10.989691076859154,498.4,650.5101146337781
37.0,9.858976003307172,498.4,640.651138630471
38.0,10.033950629237362,498.4,630.6171880012337
39.0,10.384254082514227,498.4,620.2329339187194
40.0,9.680878248124637,498.4,610.5520556705947
41.0,10.59041977796077,498.4,599.9616358926339
42.0,9.75522955280102,498.4,590.2064063398329
43.0,10.179286556726575,498.4,580.0271197831063
44.0,9.909968778782778,498.4,570.1171510043234
45.0,10.070490922488526,498.4,560.046660081835
46.0,10.762281508942388,498.4,549.2843785728926
47.0,10.180124344363131,498.4,539.1042542285294
48.0,10.222556487599642,498.4,528.8816977409297
49.0,10.393299014133655,498.4,518.488398726796
50.0,7.153018283273728,498.72033976708565,511.3576216304006
51.0,7.597174257397434,500.9688938940753,504.25184350987456
52.0,2.7566538974724426,502.51251534565705,502.0124907926058
53.0,0.6434346287311921,503.0643838133639,501.68136971198163
54.0,0.09567252245326938,503.1464413309583,501.63213520142506
55.0,0.03764131828712752,503.17872597296855,501.6127644162189
56.0,0.02145851325739373,503.19713075925426,501.60172154444746
57.0,0.0019577006204575045,503.19880986260586,501.60071408243647
58.0,0.00034930577863322187,503.1991094592334,501.60053432445994
59.0,0.0,503.1991094592334,501.60053432445994
